,productId,userId,score
4,B000058A81,AKZLIIH3AP4RU,5.0
35,B000058A81,A28JDCKBEDSI1D,5.0
47,B000058A81,A2F9JDBYG6U9VH,5.0
60,B000058A8F,A2F9JDBYG6U9VH,5.0
69,B00002066E,AICRDGOQ9KCVA,4.0
97,B00008FG1N,A2CW9IQAPFEYLM,5.0
112,B000020663,A330K1NZBFVCO2,5.0
126,B000KX0HCI,A2DZTCCA8VNWZG,4.0
127,B000KX0HCI,A17CP110C6E9KF,5.0
128,B000KX0HCI,A2CH1K8VK94C4H,4.0
150,B00008FG1T,A23I4TZSZYSY1Q,5.0
151,B00008FG1T,A2DIWGD35DLHWN,5.0
163,B0001XARZ4,A3VDGERHHLOQVQ,5.0
165,B0001XARZ4,AEQFYOI6YJ83Z,5.0
166,B0001XARZ4,A3CPA0XGKNY9ZJ,4.0
169,B0001XARZ4,A3CN9CCJUNIPKT,5.0
179,B00000C3PK,AAE2DUEMTR30I,3.0
181,B000063W6W,A30RI0AJ4CQBU1,5.0
182,B000063W6W,A3F2DHG5KIZRSV,5.0
194,B00008FG1L,AJYSM99XWVT4O,5.0
195,B00008FG1L,A3SUG1O5YSG659,5.0
203,B000BEZOVU,AFHOVCMLDWQM0,5.0
204,B000BEZOVU,A1435P5AMCPB3X,5.0
209,B000058A82,A2F9JDBYG6U9VH,5.0
217,B00008FG1U,A3MVGK7L593Y24,5.0
222,B000H309B0,A3GUZIX0ITZORF,4.0
230,B000250KLM,A1LZ4Q5FQ6IUM2,5.0
234,B000BEZOVA,AKFE1P1ZDBPXU,5.0
235,B000BEZOVA,A8TM0MI3D9T29,5.0
239,B000058A8Q,AK6AOKPKKW8ZU,5.0
245,B000057EM5,A1GJNQ7S63PTDX,5.0
246,B0002BX1YO,A2JAKHFYI88ZX0,5.0
251,B0002BX1YO,A29TNAVMPYFRDF,4.0
252,B0002BX1YO,A1XFNWGTPMG1AE,5.0
282,B001O0TMM2,A14OJS0VWMOSWO,5.0
300,B00009LW2Z,AQ9T9A5WJXVA9,5.0
301,B00009LW2Z,A1GPDE0SVI2EUP,5.0
305,B000020666,AW53QFIBH472H,2.0
317,B000020666,AFTN9ZLB22PSZ,3.0
340,B000020666,A33B5M5CE7ZX7C,4.0
365,B000020666,A8KW38D8PQ2AV,5.0
385,B000020666,A2C5LA07JCDWTN,5.0
392,B000020666,A9Q28YTLYREO7,1.0
394,B000020666,A1SPYMGDEWKK6I,5.0
396,B000020666,A245QELR5K32WU,4.0
403,B000020666,AGAMDS21PJZPK,5.0
439,B000058A85,A2F9JDBYG6U9VH,4.0
458,B0001XARZE,A200C7YQJ45LRR,4.0
468,B0002UJN7O,A3559I6Q7RCPP3,3.0
485,B000CAAL5M,A22PLUFHYLF0DD,5.0
486,B000BEZOVK,A1AT95C4D1Q3OF,5.0
489,B000BEZOVK,A2977R8KW3OUUL,4.0
492,B000BEZOVK,A2R6AMJD49KGT1,5.0
493,B000BEZOVK,A1UMZ8CMS5X54H,4.0
495,B000BEZOVK,A33D1LPCYUANWE,5.0
496,B000BEZOVK,A1AYEI2SNFPYES,5.0
503,B000BEZOVK,A1QFQ9SQZVGUK4,5.0
508,B00000C3PX,A39VT91VD5N5ZZ,5.0
515,B000MTFFIQ,AWG2O9C42XW5G,5.0
528,B00008FG10,A2GWY78Y3YZ1I6,5.0
547,B000058A87,A2F9JDBYG6U9VH,5.0
559,B000058A8T,AB2AQMK9PCWWX,4.0
565,B000057EM0,A2ASIT0JYIGHTA,3.0
584,B00008FG1I,A3M0XI1C89RQMF,5.0
621,B0009S2TEI,A8IFUOL8S9BZC,3.0
639,B0009S2TEI,A18MBO1U4DPY20,4.0
651,B0009S2TEI,A1XWQ13VJDOQ7C,3.0
661,B0009S2TEI,A3HBFWUDVQYOM9,5.0
663,B0009S2TEI,A2XYJWJQ1EMUXF,5.0
673,B0009S2TEI,A2O8D3DXLO1STP,4.0
681,B0009S2TEI,A2T8ZKX2Z837MZ,3.0
692,B0009S2TEI,A17E28QEX42YU0,4.0
