,productId,title,userId,score,category
4,B000058A81,Chrono Cross: Original Soundtrack,AKZLIIH3AP4RU,5.0,Music| Pop| Soundtracks
60,B000058A8F,Vagrant Story: Original Soundtrack,A2F9JDBYG6U9VH,5.0,Music| Pop| Soundtracks
69,B00002066E,Roy Orbison: Authorized Bootleg Collection,AICRDGOQ9KCVA,4.0,Music| Pop| Rock
97,B00008FG1N,Bird Lives,A2CW9IQAPFEYLM,5.0,Music| Jazz
112,B000020663,Hardest Pit in the Litter,A330K1NZBFVCO2,5.0,Music| Pop| Rap & Hip-Hop
126,B000KX0HCI,Nite Versions,A2DZTCCA8VNWZG,4.0,Music| Alternative Rock| Pop| Rock
150,B00008FG1T,Time for Love,A23I4TZSZYSY1Q,5.0,Music| Broadway & Vocalists| Jazz| Pop
163,B0001XARZ4,Letters From Home,A3VDGERHHLOQVQ,5.0,Music| Country| Pop
179,B00000C3PK,"1st & 2nd Cliburn Competitions, 1962/1966",AAE2DUEMTR30I,3.0,Music| Classical
181,B000063W6W,Fanfare for the Warriors [Vinyl],A30RI0AJ4CQBU1,5.0,Music| Jazz| Pop
194,B00008FG1L,Brilliant Corners,AJYSM99XWVT4O,5.0,Music| Jazz
203,B000BEZOVU,Lashing the Rye,AFHOVCMLDWQM0,5.0,Music| Alternative Rock| Miscellaneous| Pop| Rock
209,B000058A82,Chrono Trigger,A2F9JDBYG6U9VH,5.0,Music| Pop| Soundtracks
217,B00008FG1U,Songs of Courage,A3MVGK7L593Y24,5.0,Music| Jazz
222,B000H309B0,Rainbow Dome Musick,A3GUZIX0ITZORF,4.0,Music| Alternative Rock| Pop| Rock
230,B000250KLM,Hard Hard Traveling Man,A1LZ4Q5FQ6IUM2,5.0,Music| Country
234,B000BEZOVA,Accesories- Rarities And B-Sides,AKFE1P1ZDBPXU,5.0,Music| Hard Rock & Metal| Rock
239,B000058A8Q,Sweet Nothing,AK6AOKPKKW8ZU,5.0,Music| Pop| Rock
245,B000057EM5,The Formula,A1GJNQ7S63PTDX,5.0,Music| Alternative Rock| Pop| Rock
246,B0002BX1YO,Chocolate,A2JAKHFYI88ZX0,5.0,Music| Dance & Electronic| Pop| World Music
282,B001O0TMM2,Thomas & Friends: 10 Years of Thomas & Friends (2008),A14OJS0VWMOSWO,5.0,Movies & TV| TV|Music| Children's Music
300,B00009LW2Z,Ferenc Fricsay: A Life in Music [Box Set],AQ9T9A5WJXVA9,5.0,Music| Classical| Dance & Electronic| Miscellaneous
305,B000020666,Guerrilla Warfare,AW53QFIBH472H,2.0,Music| Pop| Rap & Hip-Hop
439,B000058A85,Final Fantasy VI: Grande Finale,A2F9JDBYG6U9VH,4.0,Music| Soundtracks
458,B0001XARZE,Seal IV (W/Dvd) (Dlx),A200C7YQJ45LRR,4.0,Music| Pop
468,B0002UJN7O,Enchanted Garden,A3559I6Q7RCPP3,3.0,Music| Folk| Pop| Rock
485,B000CAAL5M,Return Journey,A22PLUFHYLF0DD,5.0,Music| Country| Folk
486,B000BEZOVK,No 1,A1AT95C4D1Q3OF,5.0,Music| Alternative Rock| Dance & Electronic| Pop| Rock
508,B00000C3PX,Lebendige Vergangenheit - Tiana Lemnitz II,A39VT91VD5N5ZZ,5.0,Music| Classical
515,B000MTFFIQ,Teenage Mutant Ninja Turtles,AWG2O9C42XW5G,5.0,Music| Alternative Rock| Pop| Soundtracks
528,B00008FG10,Imagination,A2GWY78Y3YZ1I6,5.0,Music| Jazz
547,B000058A87,Legend of Dragoon V.2,A2F9JDBYG6U9VH,5.0,Music| Pop| Soundtracks
559,B000058A8T,Deodato 2,AB2AQMK9PCWWX,4.0,Music| Dance & Electronic| Jazz| Latin Music| Pop| R&B| World Music
565,B000057EM0,Immunity,A2ASIT0JYIGHTA,3.0,Music| Alternative Rock| Classic Rock| Pop| Rock
584,B00008FG1I,Code Red,A3M0XI1C89RQMF,5.0,Music| Jazz
621,B0009S2TEI,Catch Without Arms,A8IFUOL8S9BZC,3.0,Music| Alternative Rock| Hard Rock & Metal| Pop| Rock
810,B00008FG25,Hot Tat,A11BEQHZLXQ124,5.0,Music| Jazz
823,B000BEZOW4,De9: Transitions (W/Dvd),A3ETGCGLFFYLZD,2.0,Music| Dance & Electronic| Miscellaneous| Pop
829,B00002067P,Conversations in Swing Guitar,A2RFG9LI7JDILS,5.0,Music| Blues| Pop
833,B000BEZOWO,Feeding Einstein (Dig),A1020L7BWW9RAX,4.0,Music| Pop| Rap & Hip-Hop
850,B000MTFFJA,Waiting to Inhale,A2ETZ7GF5B1712,3.0,Music| Pop| Rap & Hip-Hop
883,B000PITXRS,Queensrche: Mindcrime at the Moore (2007),A3UNGC700SNYHL,5.0,Movies & TV| TV|Music| Hard Rock & Metal| Rock
908,B00008FG24,Reach a Dream,ASM1HMT2FKIL6,5.0,Music| Jazz
914,B00004WIK0,Unsung Heroine,AALYKLHR3FOUD,5.0,Music| Alternative Rock| Classic Rock| Country| Pop| Rock| World Music
930,B00002067Q,Through Eternity: Homage to Molavi (Rumi),A1ANRKHR4QWXJU,4.0,Music| Folk| New Age| Pop| World Music
934,B000MTFFJU,"Nuthin' But a ""G"" Thang [Vinyl]",A9Q28YTLYREO7,5.0,Music| Pop| R&B| Rap & Hip-Hop
936,B00002067J,Halica (Bliss Out V. 11),A3M0XI1C89RQMF,5.0,Music| Alternative Rock| Pop| Rock
938,B000058A92,Harlem River Drive,A1XNPOQDLLJJU3,5.0,Music| Jazz| Latin Music| R&B| Rock
952,B00000C3QF,Lebendige Vergangenheit: Maria Cebotari,AYQNPAN1K6B6B,5.0,Music| Classical| Miscellaneous| Pop
960,B0002UJN88,My Hotel Year,A14CRAQNS6NHRJ,4.0,Music| Alternative Rock| Pop| Rock
964,B000068VCJ,Are You In? Pt.1 (Enhanced),A1IQH2NNRNGSA8,4.0,Music| Alternative Rock| Hard Rock & Metal| Rock
966,B0000255CJ,The Punk Collection,ATBGKFT0S7P2H,2.0,Music| Alternative Rock| Pop| Rock
968,B000068VCF,This Is Not the 80's,A140CE1JEBW4IS,5.0,Music| Dance & Electronic| Pop| Rock
980,B000BEZOWY,Peace Trials,A3VZVYWCTGIEV0,4.0,Music| Alternative Rock| Pop| Rock
1010,B00002067F,1974-88: Reunited With Jimmy Webb,A3OJ012QPTGMLR,5.0,Music| Country| Folk| Pop| Rock
1023,B00002067R,On Through Eternity: Homage to Molavi,A1ANRKHR4QWXJU,4.0,Music| Folk| New Age| Pop| World Music
1035,B000057ENV,Invisible History,A2E816C5N51F6X,5.0,Music| Alternative Rock| Pop| Rock
1039,B000068VCK,Are You In?,A1IQH2NNRNGSA8,4.0,Music| Alternative Rock| Hard Rock & Metal| Rock
1040,B00000C3Q0,Mozart: Cosi Fan Tutte,A2QLQJ4G30LT6L,4.0,Music| Classical
1057,B0009VKTAG,I Came to Play,AS5WZV6SBZAAK,5.0,Music| Dance & Electronic| Pop| R&B| Rap & Hip-Hop| Rock
1089,B00002067S,Cold Dog Soup,AYOO12C9Y2T95,4.0,Music| Country| Folk| Pop
1091,B00004WIKZ,Arrival,A2X7NBUETXC19E,3.0,Music| Country| Rock
1096,B0000255CL,At the Heart of Winter,A12DOJO2C65DAS,5.0,Music| Hard Rock & Metal| Pop| Rock
1135,B00000C3Q7,Tone Poems 1,A30IQE4G73MT80,4.0,Music| Classical
1143,B00009LW3D,World Peace,A367Q9VRWQZG7W,5.0,Music| Pop| World Music
1152,B0002B7CQC,Alarifes Mudejares,A2EGK0YRDF4ZZB,5.0,Music| World Music
1162,B00002067T,The Grass Is Blue,A3FL6CIO8QIJ2F,5.0,Music| Country| Folk| Pop
1318,B0000249X3,La Llorona,ATE5SA1VTJNP8,5.0,Music| Classic Rock| Latin Music| Pop| Rock| World Music
1361,B0004JMTXI,"Beethoven- Piano Concertos 1 & 2- Alexis Weissenberg, Herbert von Karajan",ATLZNVLYKP9AZ,5.0,Music| Classical
1372,B00000HYFL,Louis Armstrong,A2MIJYUH0L6TNE,1.0,Music| Broadway & Vocalists| Jazz| Pop
1388,B00009LW32,Astrid Varnay- Opera Scenes and Orchestral Songs,A2AIMXT9PLAM12,4.0,Music| Classical| Pop
1391,B00008FG2S,Champ,A6FIAB28IS79,5.0,Music| Jazz
1400,B00002067M,King Wilcome: Live,A2NJXOU4SZI8XG,4.0,Music| Classic Rock| Hard Rock & Metal| Pop| Rock
1408,B000058A95,Syreeta,A35JR4D6FLXYRQ,5.0,Music| Pop| R&B| Rock
1417,B00002067U,Grass Is Blue,A1SFRUEEWK1AZU,4.0,Music| Country| Folk| Pop
1555,B000058A9Z,Card Captor Sakura V.4,ARO7VFY4CBGRI,1.0,Music| Pop| Soundtracks
1556,B00008FG2G,Gotstabe a Better Way,A3MVGK7L593Y24,5.0,Music| Jazz
